name,name_short,name_tv,gender,function,country_code,country,,nationality,height,,disciplines,events,birth_date,birth_place,birth_country,residence_place,,state,
SINGH Akshdee,SINGH A,Akshdeep SINGH,Male,Athlete,IND,India,,India,178,,['Athletics'],"[""Men's 20km Race Walk""]",22-11-1999,,India,BANGALORE,,KARNATAKA,
PANWAR Suraj,PANWAR S,Suraj PANWAR,Male,Athlete,IND,India,,India,174,,['Athletics'],['Marathon Race Walk Relay Mixed'],02-04-2001,,,,,,
TOOR Tajinderpal Singh,TOOR TS,Tajinderpal Singh TOOR,Male,Athlete,IND,India,,India,190,,['Athletics'],"[""Men's Shot Put""]",13-11-1994,LUDHIANA,India,MOGA,,PUNJAB,
JENA Kishore,JENA K,Kishore JENA,Male,Athlete,IND,India,,India,178,,['Athletics'],"[""Men's Javelin Throw""]",06-09-1995,KOTHASAHI,India,KOTHASAHI,,ODHISA,
VENKATESAN Subha,VENKATESAN S,Subha VENKATESAN,Female,Athlete,IND,India,,India,170,,['Athletics'],"[""Women's 4 x 400m Relay""]",31-08-1999,,,,,,
DANDI Jyothika Sri,DANDI JS,Jyothika Sri DANDI,Female,Athlete,IND,India,,India,170,,['Athletics'],"[""Women's 4 x 400m Relay""]",16-07-2000,,,,,,
ANKITA,ANKITA,ANKITA,Female,Athlete,IND,India,,India,160,,['Athletics'],"[""Women's 5000m""]",05-02-2002,UTTARAKHAND,India,,,UTTARAKHAND,
CHAUDHARY Parul,CHAUDHARY P,Parul CHAUDHARY,Female,Athlete,IND,India,,India,162,,['Athletics'],"[""Women's 3000m Steeplechase"", ""Women's 5000m""]",15-04-1995,IKALUTA VILLAGE,India,MUMBAI,,UP,
KIRAN Pahal,KIRAN P,Pahal KIRAN,Female,Athlete,IND,India,,India,172,,['Athletics'],"[""Women's 400m"", ""Women's 4 x 400m Relay""]",05-08-2000,ROHTAK,India,,,HARYANA,
RANI Annu,RANI A,Annu RANI,Female,Athlete,IND,India,,India,162,,['Athletics'],"[""Women's Javelin Throw""]",29-08-1992,BAHADARPUR VILLAGE,India,BAHADARPUR VILLAGE,,DELHI,
PRACHI,PRACHI,PRACHI,Female,Alternate Athlete,IND,India,,India,172,,['Athletics'],"[""Women's 4 x 400m Relay""]",20-12-1996,,,,,,
SINGH Sarabjot,SINGH S,Sarabjot SINGH,Male,Athlete,IND,India,,India,0,,['Shooting'],"['10m Air Pistol Men', '10m Air Pistol Mixed Team']",30-09-2001,AMBALA,India,AMBALA,,HARYANA,
DHILLON Raiza,DHILLON R,Raiza DHILLON,Female,Athlete,IND,India,,India,0,,['Shooting'],['Skeet Women'],20-04-2004,CHANDIGARH,India,HARYANA,,PUNJAB,
BOMMADEVARA Dhiraj,BOMMADEVARA D,Dhiraj BOMMADEVARA,Male,Athlete,IND,India,,India,0,,['Archery'],"[""Men's Individual"", ""Men's Team"", 'Mixed Team']",04-09-2001,VIJAYAWADA,India,VIJAYAWADA,,ANDHRA PRADESH,
RAI Tarundee,RAI T,Tarundeep RAI,Male,Athlete,IND,India,,India,0,,['Archery'],"[""Men's Individual"", ""Men's Team""]",22-02-1984,NAMCHI,India,NAMCHI,,SIKKIM,
JADHAV Pravin Ramesh,JADHAV PR,Pravin Ramesh JADHAV,Male,Athlete,IND,India,,India,0,,['Archery'],"[""Men's Individual"", ""Men's Team""]",06-07-1996,,,SATARA,,MAHARSHTRA,
KUMARI Deepika,KUMARI D,Deepika KUMARI,Female,Athlete,IND,India,,India,0,,['Archery'],"[""Women's Individual"", ""Women's Team""]",13-06-1994,RANCHI,India,PUNE,,JHARKHAND,
KAUR Bhajan,KAUR B,Bhajan KAUR,Female,Athlete,IND,India,,India,0,,['Archery'],"[""Women's Individual"", ""Women's Team""]",26-08-2005,,,,,,
BHAKAT Ankita,BHAKAT A,Ankita BHAKAT,Female,Athlete,IND,India,,India,0,,['Archery'],"[""Women's Individual"", ""Women's Team"", 'Mixed Team']",17-06-1998,KOLKATA,India,JAMSHEDPUR,,WEST BENGAL,
NATARAJ Srihari,NATARAJ S,Srihari NATARAJ,Male,Athlete,IND,India,,India,0,,['Swimming'],"[""Men's 100m Backstroke""]",16-01-2001,BENGALURU,India,BENGALURU,,WEST BENGAL, 
DESINGHU Dhinidhi,DESINGHU D,Dhinidhi DESINGHU,Female,Athlete,IND,India,,India,0,,['Swimming'],"[""Women's 200m Freestyle""]",17-05-2010,KARNATAKA,India,BENGALURU,,KARNATAKA,
AMIT Amit,AMIT A,Amit AMIT,Male,Athlete,IND,India,,India,157,,['Boxing'],"[""Men's 51kg""]",16-10-1995,ROHTAK,India,ROHTAK,,HARYANA,
CHOPRA Neeraj,CHOPRA N,Neeraj CHOPRA,Male,Athlete,IND,India,,India,186,,['Athletics'],"[""Men's Javelin Throw""]",24-12-1997,PANIPAT,India,,,HARYANA,
NISHANT DEV,NISHANT DEV,NISHANT DEV,Male,Athlete,IND,India,,India,175,,['Boxing'],"[""Men's 71kg""]",23-12-2000,KARNAL,India,BANGALORE,,HARYANA,
NIKHAT Zareen,NIKHAT Z,Zareen NIKHAT,Female,Athlete,IND,India,,India,170,,['Boxing'],"[""Women's 50kg""]",14-06-1996,NIZAMABAD,India,HYDERABAD,,WTELANGANA,
PREETI,PREETI,PREETI,Female,Athlete,IND,India,,India,170,,['Boxing'],"[""Women's 54kg""]",23-10-2003,,India,,,,
JAISMINE,JAISMINE,JAISMINE,Female,Athlete,IND,India,,India,174,,['Boxing'],"[""Women's 57kg""]",30-08-2001,BHIWANI,India,BHIWANI,,HARYANA,
BORGOHAIN Lovlina,BORGOHAIN L,Lovlina BORGOHAIN,Female,Athlete,IND,India,,India,177,,['Boxing'],"[""Women's 75kg""]",02-01-1997,"GOLAGHAT, ASSAM",India,GUWAHATI,,ASSAM,
PRIYANKA,PRIYANKA,PRIYANKA,Female,Athlete,IND,India,,India,158,,['Athletics'],"[""Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']",10-03-1996,MUZAFFARNAGAR,India,BENGALURU,,UP,
JACOB Amoj,JACOB A,Amoj JACOB,Male,Athlete,IND,India,,India,178,,['Athletics'],"[""Men's 4 x 400m Relay""]",02-05-1998,KOCHI,India,NEW DELHI,,KERELA,
ALDRIN Jeswin,ALDRIN J,Jeswin ALDRIN,Male,Athlete,IND,India,,India,172,,['Athletics'],"[""Men's Long Jump""]",24-12-2001,MUDALUR,India,,,TAMIL NADU,
CHITHRAVEL Praveen,CHITHRAVEL P,Praveen CHITHRAVEL,Male,Athlete,IND,India,,India,174,,['Athletics'],"[""Men's Triple Jump""]",05-06-2001,,,,,,
YARRAJI Jyothi,YARRAJI J,Jyothi YARRAJI,Female,Athlete,IND,India,,India,170,,['Athletics'],"[""Women's 100m Hurdles""]",28-08-1999,VISAKHAPATNAM,India,BHUBANESWAR,,ANDHRA PRADESH,
RAMRAJ Vithya,RAMRAJ V,Vithya RAMRAJ,Female,Athlete,IND,India,,India,160,,['Athletics'],"[""Women's 4 x 400m Relay""]",20-09-1998,,,,,,
AMAN Aman,AMAN A,Aman AMAN,Male,Athlete,IND,India,,India,0,,['Wrestling'],"[""Men's Freestyle 57kg""]",16-07-2003,,India,,,,
VINESH Vinesh,VINESH V,Vinesh VINESH,Female,Athlete,IND,India,,India,0,,['Wrestling'],"[""Women's Freestyle 50kg""]",25-08-1994,BHIWANI,India,BHIWANI,,HARYANA,
ANTIM Antim,ANTIM A,Antim ANTIM,Female,Athlete,IND,India,,India,0,,['Wrestling'],"[""Women's Freestyle 53kg""]",31-08-2004,BHAGANA,India,,,J&K,
ANSHU Anshu,ANSHU A,Anshu ANSHU,Female,Athlete,IND,India,,India,0,,['Wrestling'],"[""Women's Freestyle 57kg""]",05-08-2001,,,JIND,,HARYANA,
NISHA Nisha,NISHA N,Nisha NISHA,Female,Athlete,IND,India,,India,0,,['Wrestling'],"[""Women's Freestyle 68kg""]",18-10-1998,,,,,,
REETIKA Reetika,REETIKA R,Reetika REETIKA,Female,Athlete,IND,India,,India,0,,['Wrestling'],"[""Women's Freestyle 76kg""]",31-08-2002,,,,,,
MACHETTIRA Poovamma Raju,MACHETTIRA PR,Poovamma Raju MACHETTIRA,Female,Athlete,IND,India,,India,178,,['Athletics'],"[""Women's 4 x 400m Relay""]",05-06-1990,,,,,,
